LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
117s        Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-8b559bccc from 0 to 1
114s        Normal    Scheduled           pod/user-service-8b559bccc-jhw79     Successfully assigned stock-trading/user-service-8b559bccc-jhw79 to desktop-worker
114s        Normal    SuccessfulCreate    replicaset/user-service-8b559bccc    Created pod: user-service-8b559bccc-jhw79
113s        Normal    Pulling             pod/user-service-8b559bccc-jhw79     Pulling image "ttl.sh/stock-trading-matrix-signed-55c87360239d@sha256:735dce323a6793dfb7f8eb400cdb21ace9b4816195cf14bf1a4cb18540534278"
111s        Normal    Started             pod/user-service-8b559bccc-jhw79     Started container user-service
111s        Normal    Created             pod/user-service-8b559bccc-jhw79     Created container: user-service
111s        Normal    Pulled              pod/user-service-8b559bccc-jhw79     Successfully pulled image "ttl.sh/stock-trading-matrix-signed-55c87360239d@sha256:735dce323a6793dfb7f8eb400cdb21ace9b4816195cf14bf1a4cb18540534278" in 2.495s (2.495s including waiting). Image size: 15287401 bytes.
97s         Normal    Killing             pod/user-service-8b559bccc-jhw79     Stopping container user-service
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-6576c974b4 from 0 to 1
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-6576c974b4   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
62s         Warning   FailedCreate        replicaset/user-service-6576c974b4   (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-5bb8b6dcc from 0 to 1
38s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
38s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
18s         Warning   FailedCreate        replicaset/user-service-5bb8b6dcc    (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
