2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v2alpha1.GlobalContextEntry from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.Policy from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.Lease from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.ClusterPolicy from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.MutatingWebhookConfiguration from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.ValidatingWebhookConfiguration from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	klog	cache/reflector.go:351	Caches populated for *v1.ClusterRole from k8s.io/client-go@v0.29.2/tools/cache/reflector.go:229
2026-04-06T05:36:24Z	INFO	setup.leader.controllers	internal/controller.go:32	starting controller	{"name": "global-context-webhook-controller", "workers": 1}
2026-04-06T05:36:24Z	INFO	setup.leader.controllers	internal/controller.go:32	starting controller	{"name": "certmanager-controller", "workers": 1}
2026-04-06T05:36:24Z	INFO	global-context-webhook-controller	controller/run.go:58	starting ...
2026-04-06T05:36:24Z	INFO	certmanager-controller	controller/run.go:58	starting ...
2026-04-06T05:36:24Z	INFO	setup.leader.controllers	internal/controller.go:32	starting controller	{"name": "webhook-controller", "workers": 2}
2026-04-06T05:36:24Z	INFO	global-context-webhook-controller.worker	controller/run.go:71	starting worker	{"id": 0}
2026-04-06T05:36:24Z	INFO	webhook-controller	controller/run.go:58	starting ...
2026-04-06T05:36:24Z	INFO	certmanager-controller.routine	controller/run.go:80	starting routine	{"id": 0}
2026-04-06T05:36:24Z	INFO	webhook-controller.routine	controller/run.go:80	starting routine	{"id": 0}
2026-04-06T05:36:24Z	INFO	webhook-controller.worker	controller/run.go:71	starting worker	{"id": 1}
2026-04-06T05:36:24Z	INFO	certmanager-controller.worker	controller/run.go:71	starting worker	{"id": 0}
2026-04-06T05:36:24Z	INFO	webhook-controller.worker	controller/run.go:71	starting worker	{"id": 0}
