LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
114s        Normal    Scheduled           pod/user-service-6b5f859547-49ch2    Successfully assigned stock-trading/user-service-6b5f859547-49ch2 to desktop-worker
118s        Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-6b5f859547 from 0 to 1
114s        Normal    SuccessfulCreate    replicaset/user-service-6b5f859547   Created pod: user-service-6b5f859547-49ch2
114s        Normal    Pulling             pod/user-service-6b5f859547-49ch2    Pulling image "ttl.sh/stock-trading-matrix-signed-2369c9df4111@sha256:430529879d903a9514281956ea05030d56f82dcac8458751e57be0b410c2e8ef"
111s        Normal    Started             pod/user-service-6b5f859547-49ch2    Started container user-service
111s        Normal    Created             pod/user-service-6b5f859547-49ch2    Created container: user-service
111s        Normal    Pulled              pod/user-service-6b5f859547-49ch2    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-2369c9df4111@sha256:430529879d903a9514281956ea05030d56f82dcac8458751e57be0b410c2e8ef" in 2.356s (2.356s including waiting). Image size: 15289105 bytes.
97s         Normal    Killing             pod/user-service-6b5f859547-49ch2    Stopping container user-service
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-7f676fb46c from 0 to 1
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
62s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-594f7c799 from 0 to 1
38s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
38s         Warning   FailedCreate        replicaset/user-service-594f7c799    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
18s         Warning   FailedCreate        replicaset/user-service-594f7c799    (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
