LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
70s         Normal    Scheduled           pod/user-service-6b5f859547-49ch2    Successfully assigned stock-trading/user-service-6b5f859547-49ch2 to desktop-worker
74s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-6b5f859547 from 0 to 1
70s         Normal    Pulling             pod/user-service-6b5f859547-49ch2    Pulling image "ttl.sh/stock-trading-matrix-signed-2369c9df4111@sha256:430529879d903a9514281956ea05030d56f82dcac8458751e57be0b410c2e8ef"
70s         Normal    SuccessfulCreate    replicaset/user-service-6b5f859547   Created pod: user-service-6b5f859547-49ch2
67s         Normal    Pulled              pod/user-service-6b5f859547-49ch2    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-2369c9df4111@sha256:430529879d903a9514281956ea05030d56f82dcac8458751e57be0b410c2e8ef" in 2.356s (2.356s including waiting). Image size: 15289105 bytes.
67s         Normal    Created             pod/user-service-6b5f859547-49ch2    Created container: user-service
67s         Normal    Started             pod/user-service-6b5f859547-49ch2    Started container user-service
53s         Normal    Killing             pod/user-service-6b5f859547-49ch2    Stopping container user-service
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-7f676fb46c from 0 to 1
38s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
38s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
18s         Warning   FailedCreate        replicaset/user-service-7f676fb46c   (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
